event_type,N_pos,mean_same_pos,mean_next_pos,N_neg,mean_same_neg,mean_next_neg,diff_same_pos_minus_neg,diff_next_pos_minus_neg
cpi,35.0,-0.0025159784989242403,0.003986607543801123,27.0,8.145501642676248e-05,0.0037238831260380167,-0.002597433515351003,0.000262724417763106
fed,1.0,-0.0328624980459223,0.0018255182465698,1.0,0.0171475218229428,-0.0020899027793821,-0.050010019868865094,0.0039154210259519
jobs,51.0,-0.0023301191224268996,0.001152959765698619,31.0,0.0010102836473948338,8.507856606548432e-05,-0.0033404027698217334,0.0010678811996331346
unemployment,24.0,-0.0019338731712861175,0.002868425409058729,40.0,-0.0016182788207261653,0.0006075627128813432,-0.00031559435055995215,0.002260862696177386
