event_type,N,mean_same,mean_next,median_same,median_next,pct_pos_same,pct_pos_next
cpi,82,-0.0010180078776743451,0.0030055628925656887,0.0013707085987355,0.0016318376415212499,57.3170731707317,57.3170731707317
fed,56,-0.0027600722487737647,-0.0006229305711007216,-0.00010865371487462706,-0.00142699839296585,48.214285714285715,44.642857142857146
jobs,83,-0.00141658325488784,0.0009009658387267916,3.4625157933065864e-05,0.0,50.602409638554214,49.39759036144578
unemployment,83,-0.00141658325488784,0.0009009658387267916,3.4625157933065864e-05,0.0,50.602409638554214,49.39759036144578
