latest_reference_month,release_date,actual_jobs,consensus_jobs,surprise,previous_month_reference,original_value,revised_value,revision_change,revision_commentary,meta_commentary,event_type,ivv_same_day_return,ivv_next_day_return,t0,t1
Nov,2021-12-03 00:00:00-05:00,210K,550K,-340K,Oct,531K,546K,15K,Oct was revised up by 15K.,Nov jobs report showed 210K vs 550K expected. Significant downside surprise. Oct was revised up by 15K.,jobs,0.012040196549198967,0.020776335386874845,2021-12-05 00:00:00-05:00,2021-12-06 00:00:00-05:00
Oct,2021-11-05 00:00:00-04:00,531K,450K,81K,Sep,194K,312K,118K,Sep was revised up by 118K.,Oct jobs report showed 531K vs 450K expected. Big upside surprise. Sep was revised up by 118K.,jobs,0.0010419363446447782,0.0,2021-11-07 00:00:00-04:00,2021-11-07 00:00:00-04:00
Sep,2021-10-08 00:00:00-04:00,194K,500K,-306K,Aug,235K,366K,131K,Aug was revised up by 131K.,Sep jobs report showed 194K vs 500K expected. Significant downside surprise. Aug was revised up by 131K.,jobs,-0.007461202035378367,-0.0025209815849037698,2021-10-10 00:00:00-04:00,2021-10-11 00:00:00-04:00
Aug,2021-09-03 00:00:00-04:00,235K,750K,-515K,Jul,943K,"1,053K",110K,Jul was revised up by 110K.,Aug jobs report showed 235K vs 750K expected. Significant downside surprise. Jul was revised up by 110K.,jobs,-0.003230249756682513,-0.001322752266326943,2021-09-06 00:00:00-04:00,2021-09-07 00:00:00-04:00
Jul,2021-08-06 00:00:00-04:00,943K,870K,73K,Jun,850K,938K,88K,Jun was revised up by 88K.,Jul jobs report showed 943K vs 870K expected. Big upside surprise. Jun was revised up by 88K.,jobs,-0.0006977171550904826,0.0011707654142096846,2021-08-08 00:00:00-04:00,2021-08-09 00:00:00-04:00
Jun,2021-07-02 00:00:00-04:00,850K,700K,150K,May,559K,583K,24K,May was revised up by 24K.,Jun jobs report showed 850K vs 700K expected. Big upside surprise. May was revised up by 24K.,jobs,-0.002548158729335781,0.004096390386875148,2021-07-05 00:00:00-04:00,2021-07-06 00:00:00-04:00
May,2021-06-04 00:00:00-04:00,559K,650K,-91K,Apr,266K,278K,12K,Apr was revised up by 12K.,May jobs report showed 559K vs 650K expected. Significant downside surprise. Apr was revised up by 12K.,jobs,-0.0008486078669789343,4.746563373281276e-05,2021-06-06 00:00:00-04:00,2021-06-07 00:00:00-04:00
Apr,2021-05-07 00:00:00-04:00,266K,978K,-712K,Mar,916K,770K,-146K,Mar was sharply revised down by 146K.,Apr jobs report showed 266K vs 978K expected. Significant downside surprise. Mar was sharply revised down by 146K.,jobs,-0.009723328337212234,-0.008913034382813212,2021-05-09 00:00:00-04:00,2021-05-10 00:00:00-04:00
Mar,2021-04-02 00:00:00-04:00,916K,647K,269K,Feb,379K,468K,89K,Feb was revised up by 89K.,Mar jobs report showed 916K vs 647K expected. Big upside surprise. Feb was revised up by 89K.,jobs,0.014350413488610547,-0.0006129799458327589,2021-04-04 00:00:00-04:00,2021-04-05 00:00:00-04:00
Feb,2021-03-05 00:00:00-05:00,379K,182K,197K,Jan,49K,166K,117K,Jan was revised up by 117K.,Feb jobs report showed 379K vs 182K expected. Big upside surprise. Jan was revised up by 117K.,jobs,-0.004882435872209601,0.014092161738494369,2021-03-07 00:00:00-05:00,2021-03-08 00:00:00-05:00
Jan,2021-02-05 00:00:00-05:00,49K,50K,-1K,Dec,-140K,-227K,-87K,Dec was revised down by 87K.,Jan jobs report showed 49K vs 50K expected. Slight downside miss. Dec was revised down by 87K.,jobs,0.007529463034362971,-0.0008414838586170426,2021-02-07 00:00:00-05:00,2021-02-08 00:00:00-05:00
Dec,2021-01-08 00:00:00-05:00,-140K,71K,-211K,Nov,245K,336K,91K,Nov was revised up by 91K.,Dec jobs report showed -140K vs 71K expected. Significant downside surprise. Nov was revised up by 91K.,jobs,-0.00653347329682441,0.00015768929760762163,2021-01-10 00:00:00-05:00,2021-01-11 00:00:00-05:00
Nov,2020-12-04 00:00:00-05:00,245K,469K,-224K,Oct,638K,610K,-28K,Oct was revised down by 28K.,Nov jobs report showed 245K vs 469K expected. Significant downside surprise. Oct was revised down by 28K.,jobs,-0.0018590213371596498,0.002780220387435417,2020-12-06 00:00:00-05:00,2020-12-07 00:00:00-05:00
Oct,2020-11-06 00:00:00-05:00,638K,600K,38K,Sep,661K,672K,11K,Sep was revised up by 11K.,Oct jobs report showed 638K vs 600K expected. Slight upside beat. Sep was revised up by 11K.,jobs,0.012491260826083428,-0.0012925092914901626,2020-11-08 00:00:00-05:00,2020-11-09 00:00:00-05:00
Sep,2020-10-02 00:00:00-04:00,661K,850K,-189K,Aug,"1,371K","1,489K",118K,Aug was revised up by 118K.,Sep jobs report showed 661K vs 850K expected. Significant downside surprise. Aug was revised up by 118K.,jobs,0.017460051437839796,-0.014197516947888289,2020-10-04 00:00:00-04:00,2020-10-05 00:00:00-04:00
Aug,2020-09-04 00:00:00-04:00,"1,371K","1,400K",-29K,Jul,"1,763K","1,734K",-29K,Jul was revised down by 29K.,Aug jobs report showed 1371K vs 1400K expected. Slight downside miss. Jul was revised down by 29K.,jobs,-0.027181866568969704,0.01957378979853064,2020-09-07 00:00:00-04:00,2020-09-08 00:00:00-04:00
Jul,2020-08-07 00:00:00-04:00,"1,763K","1,600K",163K,Jun,"4,800K","4,791K",-9K,Jun was revised down by 9K.,Jul jobs report showed 1763K vs 1600K expected. Big upside surprise. Jun was revised down by 9K.,jobs,0.00300624503351532,-0.008368896773531809,2020-08-09 00:00:00-04:00,2020-08-10 00:00:00-04:00
