reference_month,release_date,unemployment_rate,previous_unemployment_rate,consensus,forecast,surprise,change_from_previous,meta_commentary,event_type,ivv_same_day_return,ivv_next_day_return,t0,t1
May,2023-06-02 00:00:00-04:00,3.7%,3.4%,3.5%,3.5%,+0.2%,+0.3%,"Unemployment ticked up to 3.7% (vs 3.4% last month). Market expected 3.5%, negative surprise (+0.2pp vs forecast).",unemployment,-0.0017218905652003347,0.002120951646207514,2023-06-04 00:00:00-04:00,2023-06-05 00:00:00-04:00
Apr,2023-05-05 00:00:00-04:00,3.4%,3.5%,3.6%,3.6%,-0.2%,-0.1%,"Unemployment ticked down to 3.4% (vs 3.5% last month). Market expected 3.6%, positive surprise (-0.2pp vs forecast).",unemployment,0.0005309092329934817,-0.004077109660361122,2023-05-07 00:00:00-04:00,2023-05-08 00:00:00-04:00
Mar,2023-04-07 00:00:00-04:00,3.5%,3.6%,3.6%,3.6%,-0.1%,-0.1%,"Unemployment ticked down to 3.5% (vs 3.6% last month). Market expected 3.6%, positive surprise (-0.1pp vs forecast).",unemployment,0.001143496163467983,-2.441591057067427e-05,2023-04-09 00:00:00-04:00,2023-04-10 00:00:00-04:00
Feb,2023-03-10 00:00:00-05:00,3.6%,3.4%,3.4%,3.4%,+0.2%,+0.2%,"Unemployment ticked up to 3.6% (vs 3.4% last month). Market expected 3.4%, negative surprise (+0.2pp vs forecast).",unemployment,-0.00208812592614227,0.01681831878745421,2023-03-12 00:00:00-05:00,2023-03-13 00:00:00-04:00
Jan,2023-02-03 00:00:00-05:00,3.4%,3.5%,3.6%,3.6%,-0.2%,-0.1%,"Unemployment ticked down to 3.4% (vs 3.5% last month). Market expected 3.6%, positive surprise (-0.2pp vs forecast).",unemployment,-0.0061542313107108,0.012918821051499885,2023-02-05 00:00:00-05:00,2023-02-06 00:00:00-05:00
Dec,2023-01-06 00:00:00-05:00,3.5%,3.7%,3.7%,3.7%,-0.2%,-0.2%,"Unemployment ticked down to 3.5% (vs 3.7% last month). Market expected 3.7%, positive surprise (-0.2pp vs forecast).",unemployment,-0.0006926684235682989,0.007187701995809759,2023-01-08 00:00:00-05:00,2023-01-09 00:00:00-05:00
Nov,2022-12-02 00:00:00-05:00,3.7%,3.7%,3.7%,3.7%,+0.0%,+0.0%,"Unemployment was unchanged to 3.7% (vs 3.7% last month). Market expected 3.7%, in line with expectations.",unemployment,-0.018007868912898073,-0.014301735557929907,2022-12-04 00:00:00-05:00,2022-12-05 00:00:00-05:00
Oct,2022-11-04 00:00:00-04:00,3.7%,3.5%,3.6%,3.6%,+0.1%,+0.2%,"Unemployment ticked up to 3.7% (vs 3.5% last month). Market expected 3.6%, negative surprise (+0.1pp vs forecast).",unemployment,0.009766047454278226,0.0,2022-11-06 00:00:00-04:00,2022-11-06 00:00:00-04:00
Sep,2022-10-07 00:00:00-04:00,3.5%,3.7%,3.7%,3.7%,-0.2%,-0.2%,"Unemployment ticked down to 3.5% (vs 3.7% last month). Market expected 3.7%, positive surprise (-0.2pp vs forecast).",unemployment,-0.007438300552327859,-0.006857945715088243,2022-10-09 00:00:00-04:00,2022-10-10 00:00:00-04:00
Aug,2022-09-02 00:00:00-04:00,3.7%,3.5%,3.5%,3.5%,+0.2%,+0.2%,"Unemployment ticked up to 3.7% (vs 3.5% last month). Market expected 3.5%, negative surprise (+0.2pp vs forecast).",unemployment,-0.003981994221509022,0.01810516149251873,2022-09-05 00:00:00-04:00,2022-09-06 00:00:00-04:00
Jul,2022-08-05 00:00:00-04:00,3.5%,3.6%,3.6%,3.6%,-0.1%,-0.1%,"Unemployment ticked down to 3.5% (vs 3.6% last month). Market expected 3.6%, positive surprise (-0.1pp vs forecast).",unemployment,-0.0008662477651445455,-0.004190519834058493,2022-08-07 00:00:00-04:00,2022-08-08 00:00:00-04:00
Jun,2022-07-08 00:00:00-04:00,3.6%,3.6%,3.6%,3.6%,+0.0%,+0.0%,"Unemployment was unchanged to 3.6% (vs 3.6% last month). Market expected 3.6%, in line with expectations.",unemployment,-0.011390202954490225,-0.00898445391641145,2022-07-10 00:00:00-04:00,2022-07-11 00:00:00-04:00
May,2022-06-03 00:00:00-04:00,3.6%,3.6%,3.5%,3.5%,+0.1%,+0.0%,"Unemployment was unchanged to 3.6% (vs 3.6% last month). Market expected 3.5%, negative surprise (+0.1pp vs forecast).",unemployment,0.00300674405017487,0.009283859369917602,2022-06-05 00:00:00-04:00,2022-06-06 00:00:00-04:00
Apr,2022-05-06 00:00:00-04:00,3.6%,3.6%,3.5%,3.5%,+0.1%,+0.0%,"Unemployment was unchanged to 3.6% (vs 3.6% last month). Market expected 3.5%, negative surprise (+0.1pp vs forecast).",unemployment,-0.03216263517646967,0.001975282304166104,2022-05-08 00:00:00-04:00,2022-05-09 00:00:00-04:00
Mar,2022-04-01 00:00:00-04:00,3.6%,3.8%,3.7%,3.7%,-0.1%,-0.2%,"Unemployment ticked down to 3.6% (vs 3.8% last month). Market expected 3.7%, positive surprise (-0.1pp vs forecast).",unemployment,0.008817079817641682,-0.012881279881344354,2022-04-03 00:00:00-04:00,2022-04-04 00:00:00-04:00
Feb,2022-03-04 00:00:00-05:00,3.8%,4.0%,3.9%,3.9%,-0.1%,-0.2%,"Unemployment ticked down to 3.8% (vs 4.0% last month). Market expected 3.9%, positive surprise (-0.1pp vs forecast).",unemployment,-0.029381240167563938,-0.0074550754330230395,2022-03-06 00:00:00-05:00,2022-03-07 00:00:00-05:00
Jan,2022-02-04 00:00:00-05:00,4.0%,3.9%,3.9%,3.9%,+0.1%,+0.1%,"Unemployment ticked up to 4.0% (vs 3.9% last month). Market expected 3.9%, negative surprise (+0.1pp vs forecast).",unemployment,-0.003548929145642088,0.007946815430265763,2022-02-06 00:00:00-05:00,2022-02-07 00:00:00-05:00
Dec,2022-01-07 00:00:00-05:00,3.9%,4.2%,4.1%,4.1%,-0.2%,-0.3%,"Unemployment ticked down to 3.9% (vs 4.2% last month). Market expected 4.1%, positive surprise (-0.2pp vs forecast).",unemployment,-0.0018797579571374623,0.009866682933931337,2022-01-09 00:00:00-05:00,2022-01-10 00:00:00-05:00
